,stockName,2021-09-30,2021-10-08,isRed
2829,*ST西水,27880857.0,13822207.0,False
2830,远达环保,15506513.0,16777319.0,False
2831,三峡新材,30816225.0,31027075.0,False
2832,鄂尔多斯,26329410.0,21150748.0,True
2833,S兰铝,17601773.0,19864095.0,False
2834,广汇汽车,57979406.0,89630355.0,False
2835,安琪酵母,34570021.0,14678908.0,False
2836,安迪苏,7379441.0,6615841.0,False
2837,ST维维,6362371.0,10048751.0,False
2838,*ST南化,4751800.0,6283945.0,True
2839,标准股份,1497200.0,1915748.0,False
2840,曙光股份,13652522.0,10941876.0,False
2841,恒顺醋业,19658894.0,15430101.0,False
2842,*ST商城,525610.0,302409.0,False
2843,酒钢宏兴,81598551.0,77892654.0,True
2844,华泰股份,48390245.0,34688381.0,True
2845,万华化学,13072987.0,12155631.0,True
2846,桂东电力,84785597.0,59480751.0,True
2847,ST荣华,5397002.0,7733303.0,False
2848,平高电气,72646811.0,50498034.0,True
2849,农发种业,9974611.0,75554669.0,False
2850,上海家化,2569873.0,2571893.0,False
2851,洪都航空,8634937.0,9741244.0,True
2852,营口港,30395617.0,55560618.0,False
2853,新力金融,3171640.0,6005358.0,False
2854,*ST亚星,1065541.0,994463.0,True
2855,振华重工,56361781.0,30327943.0,True
2856,正源股份,8810406.0,10548771.0,False
2857,天房发展,7704496.0,8529100.0,False
2858,瀚蓝环境,14568898.0,8680486.0,True
2859,华发股份,20057821.0,16374475.0,False
2860,西藏天路,7527724.0,10182754.0,False
2861,大东方,10868818.0,5693884.0,False
2862,中盐化工,35860244.0,33260218.0,True
2863,中新药业,6409721.0,5497997.0,False
2864,天通股份,16489859.0,14752890.0,True
2865,宏达股份,87663402.0,75166774.0,True
2866,白云山,5665874.0,6272934.0,False
2867,长春燃气,38665797.0,62952839.0,False
2868,国机汽车,16282880.0,16002473.0,False
2869,澳柯玛,16820158.0,39812248.0,False
2870,美克家居,11628120.0,14929779.0,False
2871,西藏珠峰,43491554.0,44060175.0,True
2872,中油工程,55441202.0,115710762.0,False
2873,华夏幸福,80916433.0,13519216.0,False
2874,航天动力,6881529.0,9085310.0,False
2875,长江通信,2261840.0,2375044.0,False
2876,恒力石化,30469561.0,19667654.0,True
2877,华阳股份,51041916.0,49011499.0,True
2878,山东高速,6817458.0,5035536.0,False
2879,亚宝药业,16075099.0,17316694.0,True
2880,浙江龙盛,43937021.0,33726142.0,False
2881,旭光电子,2780500.0,2553804.0,False
2882,敦煌种业,14949457.0,51399706.0,False
2883,精伦电子,7378000.0,13520700.0,False
2884,恒丰纸业,2853169.0,2598551.0,False
2885,承德钒钛,46543272.0,43202712.0,True
2886,国旅联合,7922013.0,10605591.0,False
